OBJET,CORRESPONDANCE,DESCRIPTION
v9379663,fullClockContainerVertical,Conteneur de l'horloge complète en vertical
v9337763,toggleClockFullFunction,Fonction pour basculer entre horloge complète et mini
v9406663,fullClockTimeDisplayVertical,Affichage de l'heure de l'horloge complète vertical
v9379763,fullClockSecondsDisplayVertical,Affichage des secondes de l'horloge complète vertical
v9422063,fullClockAmPmDisplayVertical,Affichage AM/PM de l'horloge complète vertical
v9379863,miniClockContainerVertical,Conteneur de la mini horloge en vertical
v9406763,miniClockTimeDisplayVertical,Affichage de l'heure de la mini horloge vertical
v9368463,miniClockSecondsDisplayVertical,Affichage des secondes de la mini horloge vertical
v9406863,azanPopupVertical,Fenêtre popup de l'adhan en vertical
v9491863,hiddenClass,Classe CSS pour cacher un élément avec transition
v9394463,hideElementFunction,Fonction pour cacher un élément avec transition
v9368563,azanPopupBackgroundVertical,Arrière-plan de la popup adhan vertical
v9394563,azanPopupTitleVertical,Titre de la popup adhan vertical
v9394663,azanPopupPrayerNameVertical,Nom de la prière dans la popup adhan vertical
v9406963,azanPopupTimeVertical,Heure dans la popup adhan vertical
v9407063,iqamaPopupVertical,Fenêtre popup de l'iqama en vertical
v9368663,iqamaPopupBackgroundVertical,Arrière-plan de la popup iqama vertical
v9407163,iqamaPopupTextVertical,Texte de la popup iqama vertical
v9422163,dohaPopupVertical,Fenêtre popup de Doha en vertical
v9379963,dohaPopupBackgroundVertical,Arrière-plan de la popup Doha vertical
v9368763,dohaPopupTextVertical,Texte de la popup Doha vertical
v9407263,ayaDisplayContainerVertical,Conteneur d'affichage des versets en vertical
v9451363,displayTableClass,Classe pour affichage en table
v9407363,ayaTextDisplayVertical,Texte du verset affiché en vertical
v9451463,tableCellMiddleClass,Classe pour cellule de table avec alignement milieu
v9436563,goldenColorClass,Classe pour couleur dorée
v9349163,displayRandomAyaFunction,Fonction pour afficher un verset aléatoire
v9407463,messageDisplayContainerVertical,Conteneur d'affichage de messages en vertical
v9407563,messageTextDisplayVertical,Texte du message affiché en vertical
v9451563,miniPrayerTimesVertical,Tableau des horaires de prières mini en vertical
v9422263,miniPrayerTimesTableVertical,Table des horaires mini en vertical
v9407663,spacerCell,Cellule d'espacement
v9478663,prayerNameFajrMiniVertical,Nom de Fajr dans le tableau mini vertical
v9422363,prayerNameClass,Classe pour le nom de la prière
v9478763,prayerTimeFajrMiniVertical,Heure de Fajr dans le tableau mini vertical
v9422463,prayerTimeClass,Classe pour l'heure de la prière
v9478863,prayerNameShrqMiniVertical,Nom de Shuruq dans le tableau mini vertical
v9478963,prayerTimeShrqMiniVertical,Heure de Shuruq dans le tableau mini vertical
v9479063,prayerNameDohrMiniVertical,Nom de Dohr dans le tableau mini vertical
v9479163,prayerTimeDohrMiniVertical,Heure de Dohr dans le tableau mini vertical
v9407763,spacerCell2,Deuxième cellule d'espacement
v9479263,prayerNameAsrMiniVertical,Nom de Asr dans le tableau mini vertical
v9479363,prayerTimeAsrMiniVertical,Heure de Asr dans le tableau mini vertical
v9479463,prayerNameMgrbMiniVertical,Nom de Maghrib dans le tableau mini vertical
v9479563,prayerTimeMgrbMiniVertical,Heure de Maghrib dans le tableau mini vertical
v9479663,prayerNameIshaMiniVertical,Nom de Isha dans le tableau mini vertical
v9479763,prayerTimeIshaMiniVertical,Heure de Isha dans le tableau mini vertical
v9465363,highlightBarVertical,Barre de surbrillance en vertical
v9380063,prayerTimesContainerVertical,Conteneur principal des horaires de prières en vertical
v9436663,prayerTimesHeaderVertical,En-tête du tableau des horaires en vertical
v9357063,headerRowVertical,Ligne d'en-tête en vertical
v9465463,headerPrayerNameVertical,En-tête "Prière" en vertical
v9479863,headerAzanTimeVertical,En-tête "Adhan" en vertical
v9465563,headerIqamaTimeVertical,En-tête "Iqama" en vertical
v9491963,prayerRowFajrVertical,Ligne de Fajr en vertical
v9465663,prayerRowClass,Classe pour une ligne de prière
v9511963,prayerNameFajrVertical,Nom de Fajr en vertical
v9451663,prayerNameLargeClass,Classe pour nom de prière en grand
v9357163,incrementThemeFunction,Fonction pour passer au thème suivant
v9512063,azanTimeFajrVertical,Heure d'adhan de Fajr en vertical
v9451763,azanTimeClass,Classe pour l'heure d'adhan
v9357263,decrementThemeFunction,Fonction pour passer au thème précédent
v9509963,iqamaTimeFajrVertical,Heure d'iqama de Fajr en vertical
v9436763,iqamaTimeClass,Classe pour l'heure d'iqama
v9337863,toggleIqamaFullTimesFunction,Fonction pour basculer l'affichage des heures d'iqama complètes
v9479963,weatherIconClass,Classe pour l'icône météo dans les lignes de prière
v9451863,nightPrayersContainerVertical,Conteneur des prières de nuit en vertical
v9436863,toggleNightPrayersDisplayFunction,Fonction pour basculer l'affichage des prières de nuit
v9407863,midnightTimeDisplayVertical,Affichage de l'heure de minuit en vertical
v9407963,lastThirdTimeDisplayVertical,Affichage de l'heure du dernier tiers en vertical
v9422563,tomorrowFajrTimeDisplayVertical,Affichage de l'heure de Fajr de demain en vertical
v9492063,prayerRowShrqVertical,Ligne de Shuruq en vertical
v9408063,prayerRowSecondaryClass,Classe pour ligne de prière secondaire
v9512163,prayerNameShrqVertical,Nom de Shuruq en vertical
v9512263,azanTimeShrqVertical,Heure de Shuruq en vertical
v9510063,iqamaTimeShrqVertical,Heure d'iqama de Shuruq en vertical
v9492163,prayerRowDohrVertical,Ligne de Dohr en vertical
v9512363,prayerNameDohrVertical,Nom de Dohr en vertical
v9343063,triggerSlidesFunction,Fonction pour déclencher les slides (après 3 clics)
v9512463,azanTimeDohrVertical,Heure d'adhan de Dohr en vertical
v9337963,triggerAzkarMainFunction,Fonction pour déclencher les adhkar principaux
v9510163,iqamaTimeDohrVertical,Heure d'iqama de Dohr en vertical
v9492263,prayerRowAsrVertical,Ligne de Asr en vertical
v9512563,prayerNameAsrVertical,Nom de Asr en vertical
v9512663,azanTimeAsrVertical,Heure d'adhan de Asr en vertical
v9394763,triggerAzkarSabahFunction,Fonction pour déclencher les adhkar du matin
v9510263,iqamaTimeAsrVertical,Heure d'iqama de Asr en vertical
v9394863,triggerAzkarMasaaFunction,Fonction pour déclencher les adhkar du soir
v9492363,prayerRowMgrbVertical,Ligne de Maghrib en vertical
v9512763,prayerNameMgrbVertical,Nom de Maghrib en vertical
v9394963,triggerIqamaTestFunction,Fonction pour tester l'iqama (double-clic)
v9512863,azanTimeMgrbVertical,Heure d'adhan de Maghrib en vertical
v9510363,iqamaTimeMgrbVertical,Heure d'iqama de Maghrib en vertical
v9380163,checkInternetConnectionFunction,Fonction pour vérifier la connexion Internet
v9492463,prayerRowIshaVertical,Ligne de Isha en vertical
v9512963,prayerNameIshaVertical,Nom de Isha en vertical
v9513063,azanTimeIshaVertical,Heure d'adhan de Isha en vertical
v9510463,iqamaTimeIshaVertical,Heure d'iqama de Isha en vertical
v9332463,displayRandomHadithFunction,Fonction pour afficher un hadith aléatoire
v9465763,blackScreenVertical,Écran noir en vertical
v9436963,noMobileImageVertical,Image "no-mobile" en vertical
v9422663,hadithDisplayVertical,Affichage du hadith en vertical (statique)
v9329363,toggleMarqueeFunction,Fonction pour basculer le défilement des messages
v9422763,marqueeContainerVertical,Conteneur du texte défilant en vertical
v9480063,marqueeTextVertical,Texte défilant en vertical
v9437063,marqueeTextClass,Classe pour le texte défilant
v9422863,staticMessageDisplayVertical,Affichage de message statique en vertical
v9480163,internetStatusIndicatorVertical,Indicateur de statut Internet en vertical
v9465863,azkarContainerVertical,Conteneur principal des adhkar en vertical
v9451963,azkarContentWrapperVertical,Wraper du contenu des adhkar en vertical
v9380263,stopAzkarDisplayFunction,Fonction pour arrêter l'affichage des adhkar
v9504563,azkarClockDisplayVertical,Affichage de l'horloge dans les adhkar vertical
v9465963,azkarClockClass,Classe pour l'horloge dans adhkar
v9408163,azkarTextWrapperVertical,Wraper du texte des adhkar en vertical
v9408263,azkarTextDisplayVertical,Texte des adhkar affiché en vertical
v9452063,slidesContainerVertical,Conteneur des diapositives en vertical
v9368863,stopSlidesDisplayFunction,Fonction pour arrêter l'affichage des slides
v9492563,slidesClockDisplayVertical,Affichage de l'horloge dans les slides vertical
v9408363,slidesTextWrapperVertical,Wraper du texte des slides en vertical
v9408463,slidesTextDisplayVertical,Texte des slides affiché en vertical
v9480263,azkar5minPictureContainerVertical,Conteneur de l'image 5min adhkar en vertical
v9380363,hideAzkar5minPictureFunction,Fonction pour cacher l'image 5min adhkar
v9492663,picture5minClockDisplayVertical,Affichage de l'horloge sur l'image 5min vertical
v9380463,iqamaCounterContainerVertical,Conteneur du compteur d'iqama en vertical
v9492763,iqamaCounterSvgVertical,Élément SVG du compteur d'iqama vertical
v9480363,iqamaCounterCircleVertical,Cercle de progression du compteur d'iqama vertical
v9480463,iqamaCounterTimeDisplayVertical,Affichage du temps restant iqama vertical
v9480563,iqamaCounterLabelVertical,Label du compteur d'iqama vertical
v9437163,secondCounterContainerVertical,Conteneur du compteur des secondes (dernière minute) en vertical
v9437263,eidMessageContainerVertical,Conteneur du message de l'Aïd en vertical
v9395063,fullScreenCounterContainerVertical,Conteneur du compteur plein écran en vertical
v9357363,closeFullScreenCounterFunction,Fonction pour fermer le compteur plein écran
v9408563,fullScreenCounterTimeDisplayVertical,Affichage de l'heure du compteur plein écran vertical
v9437363,fullScreenCounterLabelVertical,Label du compteur plein écran vertical
v9492863,psFlagImageVertical,Image du drapeau PS en vertical
v9395163,restartApplicationFunction,Fonction pour redémarrer l'application
v9466063,mainHorizontalContainer,Conteneur principal pour l'orientation paysage/horizontale
v9466163,horizontalBackgroundLayer,Calque d'arrière-plan pour le mode horizontal
v9466263,menuToggleButtonHorizontal,Bouton pour ouvrir/fermer le menu en horizontal
v9422963,appLogoImageHorizontal,Image du logo de l'application en horizontal
v9380563,dateDisplayHorizontal,Affichage de la date en mode horizontal
v9437463,dateDisplayClass,Classe pour l'affichage de la date
v9343163,dateTextSpanHorizontal,Span du texte de la date en horizontal
v9437563,mosqueNameDisplayHorizontal,Affichage du nom de la mosquée en horizontal
v9452163,mosqueNameClassHorizontal,Classe pour le nom de la mosquée en horizontal
v9357463,toggleDatePositionFunction,Fonction pour basculer la position de la date
v9423063,weatherWidgetHorizontal,Widget météo en mode horizontal
v9437663,weatherWidgetClass,Classe pour le widget météo
v9437763,weatherIconHorizontal,Conteneur de l'icône météo horizontal
v9423163,weatherIconImageHorizontal,Image de l'icône météo horizontal
v9437863,weatherTempHorizontal,Affichage de la température météo horizontal
v9437963,weatherMinMaxHorizontal,Affichage des températures min/max horizontal
v9452263,weatherMinMaxSpanHorizontal,Span pour les températures min/max horizontal
v9395263,dohaTimeDisplayHorizontal,Affichage de l'heure de Doha en horizontal
v9380663,fullClockContainerHorizontal,Conteneur de l'horloge complète en horizontal
v9408663,fullClockTimeDisplayHorizontal,Affichage de l'heure de l'horloge complète horizontal
v9380763,fullClockSecondsDisplayHorizontal,Affichage des secondes de l'horloge complète horizontal
v9423263,fullClockAmPmDisplayHorizontal,Affichage AM/PM de l'horloge complète horizontal
v9380863,miniClockContainerHorizontal,Conteneur de la mini horloge en horizontal
v9408763,miniClockTimeDisplayHorizontal,Affichage de l'heure de la mini horloge horizontal
v9368963,miniClockSecondsDisplayHorizontal,Affichage des secondes de la mini horloge horizontal
v9408863,ayaDisplayContainerHorizontal,Conteneur d'affichage des versets en horizontal
v9452363,ayaTextDisplayHorizontal,Texte du verset affiché en horizontal
v9408963,messageDisplayContainerHorizontal,Conteneur d'affichage de messages en horizontal
v9452463,messageTextDisplayHorizontal,Texte du message affiché en horizontal
v9423363,nextPrayerCounterHorizontal,Compteur de la prochaine prière en horizontal
v9380963,nextPrayerTimeDisplayHorizontal,Affichage de l'heure de la prochaine prière horizontal
v9343263,toggleHrNamesMiddleFunction,Fonction pour basculer les noms des prières au milieu en HR
v9381063,nextPrayerLabelHorizontal,Label de la prochaine prière en horizontal
v9423463,jomoaCounterHorizontal,Compteur pour Jomoaa en horizontal
v9369063,jomoaTimeDisplayHorizontal,Affichage de l'heure de Jomoaa horizontal
v9395363,jomoaLabelHorizontal,Label Jomoaa en horizontal
v9381163,secondJomoaTimeDisplayHorizontal,Affichage de la deuxième Jomoaa en horizontal
v9409063,azanPopupHorizontal,Fenêtre popup de l'adhan en horizontal
v9369163,azanPopupBackgroundHorizontal,Arrière-plan de la popup adhan horizontal
v9395463,azanPopupTitleHorizontal,Titre de la popup adhan horizontal
v9395563,azanPopupPrayerNameHorizontal,Nom de la prière dans la popup adhan horizontal
v9409163,azanPopupTimeHorizontal,Heure dans la popup adhan horizontal
v9409263,iqamaPopupHorizontal,Fenêtre popup de l'iqama en horizontal
v9369263,iqamaPopupBackgroundHorizontal,Arrière-plan de la popup iqama horizontal
v9409363,iqamaPopupTextHorizontal,Texte de la popup iqama horizontal
v9423563,dohaPopupHorizontal,Fenêtre popup de Doha en horizontal
v9381263,dohaPopupBackgroundHorizontal,Arrière-plan de la popup Doha horizontal
v9369363,dohaPopupTextHorizontal,Texte de la popup Doha horizontal
v9452563,miniPrayerTimesHorizontal,Tableau des horaires de prières mini en horizontal
v9423663,miniPrayerTimesTableHorizontal,Table des horaires mini en horizontal
v9423763,spacerCellHorizontal,Cellule d'espacement horizontal
v9480663,prayerNameFajrMiniHorizontal,Nom de Fajr dans le tableau mini horizontal
v9423863,prayerNameClassHorizontal,Classe pour le nom de la prière horizontal
v9480763,prayerTimeFajrMiniHorizontal,Heure de Fajr dans le tableau mini horizontal
v9423963,prayerTimeClassHorizontal,Classe pour l'heure de la prière horizontal
v9480863,prayerNameShrqMiniHorizontal,Nom de Shuruq horizontal
v9480963,prayerTimeShrqMiniHorizontal,Heure de Shuruq horizontal
v9481063,prayerNameDohrMiniHorizontal,Nom de Dohr horizontal
v9481163,prayerTimeDohrMiniHorizontal,Heure de Dohr horizontal
v9481263,prayerNameAsrMiniHorizontal,Nom de Asr horizontal
v9481363,prayerTimeAsrMiniHorizontal,Heure de Asr horizontal
v9481463,prayerNameMgrbMiniHorizontal,Nom de Maghrib horizontal
v9481563,prayerTimeMgrbMiniHorizontal,Heure de Maghrib horizontal
v9481663,prayerNameIshaMiniHorizontal,Nom de Isha horizontal
v9481763,prayerTimeIshaMiniHorizontal,Heure de Isha horizontal
v9438063,highlightBarHorizontal,Barre de surbrillance en horizontal
v9395663,prayerTimesContainerHorizontal,Conteneur principal des horaires de prières en horizontal
v9409463,prayerTimesTableHorizontal,Tableau des horaires en horizontal
v9504663,sixPrayersTableClass,Classe pour tableau à 6 prières
v9452663,prayerCellFajrHorizontal,Cellule de Fajr en horizontal
v9409563,prayerCellClass,Classe pour cellule de prière
v9452763,spacerCellFajrHorizontal,Cellule d'espacement pour Fajr horizontal
v9504763,prayerNameFajrHorizontal,Nom de Fajr en horizontal
v9452863,prayerNameHorizontalClass,Classe pour nom de prière horizontal
v9504863,azanTimeFajrHorizontal,Heure d'adhan de Fajr en horizontal
v9452963,azanTimeHorizontalClass,Classe pour heure d'adhan horizontal
v9504963,iqamaTimeFajrHorizontal,Heure d'iqama de Fajr en horizontal
v9438163,iqamaTimeHorizontalClass,Classe pour heure d'iqama horizontal
v9481863,weatherIconHorizontalClass,Classe pour icône météo horizontal
v9453063,nightPrayersContainerHorizontal,Conteneur des prières de nuit en horizontal
v9409663,midnightTimeDisplayHorizontal,Affichage de l'heure de minuit en horizontal
v9409763,lastThirdTimeDisplayHorizontal,Affichage de l'heure du dernier tiers horizontal
v9424063,tomorrowFajrTimeDisplayHorizontal,Affichage de Fajr demain horizontal
v9453163,prayerCellShrqHorizontal,Cellule de Shuruq horizontal
v9505063,prayerNameShrqHorizontal,Nom de Shuruq horizontal
v9505163,azanTimeShrqHorizontal,Heure de Shuruq horizontal
v9505263,iqamaTimeShrqHorizontal,Heure d'iqama de Shuruq horizontal
v9453263,prayerCellDohrHorizontal,Cellule de Dohr horizontal
v9505363,prayerNameDohrHorizontal,Nom de Dohr horizontal
v9505463,azanTimeDohrHorizontal,Heure d'adhan de Dohr horizontal
v9505563,iqamaTimeDohrHorizontal,Heure d'iqama de Dohr horizontal
v9453363,prayerCellAsrHorizontal,Cellule de Asr horizontal
v9505663,prayerNameAsrHorizontal,Nom de Asr horizontal
v9505763,azanTimeAsrHorizontal,Heure d'adhan de Asr horizontal
v9505863,iqamaTimeAsrHorizontal,Heure d'iqama de Asr horizontal
v9453463,prayerCellMgrbHorizontal,Cellule de Maghrib horizontal
v9505963,prayerNameMgrbHorizontal,Nom de Maghrib horizontal
v9506063,azanTimeMgrbHorizontal,Heure d'adhan de Maghrib horizontal
v9506163,iqamaTimeMgrbHorizontal,Heure d'iqama de Maghrib horizontal
v9453563,prayerCellIshaHorizontal,Cellule de Isha horizontal
v9506263,prayerNameIshaHorizontal,Nom de Isha horizontal
v9506363,azanTimeIshaHorizontal,Heure d'adhan de Isha horizontal
v9369463,toggleJomoaOnHrScreenFunction,Fonction pour basculer l'affichage Jomoaa sur écran HR
v9506463,iqamaTimeIshaHorizontal,Heure d'iqama de Isha horizontal
v9466363,tawkitNameDisplayHorizontal,Affichage du nom Tawkit en horizontal
v9369563,toggleHr5BoxesFunction,Fonction pour basculer l'affichage 5/6 cases en HR
v9424163,hadithDisplayHorizontal,Affichage du hadith en horizontal (statique)
v9424263,marqueeContainerHorizontal,Conteneur du texte défilant en horizontal
v9481963,marqueeTextHorizontal,Texte défilant en horizontal
v9424363,staticMessageDisplayHorizontal,Affichage de message statique en horizontal
v9466463,cityCodeDisplayHorizontal,Affichage du code ville en horizontal
v9482063,internetStatusIndicatorHorizontal,Indicateur de statut Internet en horizontal
v9466563,blackScreenHorizontal,Écran noir en horizontal
v9438263,noMobileImageHorizontal,Image "no-mobile" en horizontal
v9466663,azkarContainerHorizontal,Conteneur principal des adhkar en horizontal
v9453663,azkarContentWrapperHorizontal,Wraper du contenu des adhkar en horizontal
v9506563,azkarClockDisplayHorizontal,Affichage de l'horloge dans les adhkar horizontal
v9409863,azkarTextWrapperHorizontal,Wraper du texte des adhkar en horizontal
v9409963,azkarTextDisplayHorizontal,Texte des adhkar affiché en horizontal
v9453763,slidesContainerHorizontal,Conteneur des diapositives en horizontal
v9492963,slidesClockDisplayHorizontal,Affichage de l'horloge dans les slides horizontal
v9410063,slidesTextWrapperHorizontal,Wraper du texte des slides en horizontal
v9410163,slidesTextDisplayHorizontal,Texte des slides affiché en horizontal
v9482163,azkar5minPictureContainerHorizontal,Conteneur de l'image 5min adhkar en horizontal
v9493063,picture5minClockDisplayHorizontal,Affichage de l'horloge sur l'image 5min horizontal
v9381363,iqamaCounterContainerHorizontal,Conteneur du compteur d'iqama en horizontal
v9493163,iqamaCounterSvgHorizontal,Élément SVG du compteur d'iqama horizontal
v9482263,iqamaCounterCircleHorizontal,Cercle de progression du compteur d'iqama horizontal
v9482363,iqamaCounterTimeDisplayHorizontal,Affichage du temps restant iqama horizontal
v9482463,iqamaCounterLabelHorizontal,Label du compteur d'iqama horizontal
v9438363,secondCounterContainerHorizontal,Conteneur du compteur des secondes en horizontal
v9438463,eidMessageContainerHorizontal,Conteneur du message de l'Aïd en horizontal
v9395763,fullScreenCounterContainerHorizontal,Conteneur du compteur plein écran en horizontal
v9357563,fullScreenCounterBackgroundHorizontal,Arrière-plan du compteur plein écran horizontal
v9410263,fullScreenCounterTimeDisplayHorizontal,Affichage de l'heure du compteur plein écran horizontal
v9410363,fullScreenCounterMiniClockHorizontal,Mini horloge dans le compteur plein écran horizontal
v9438563,fullScreenCounterLabelHorizontal,Label du compteur plein écran horizontal
v9453863,noMobileImageContainerHorizontal,Conteneur de l'image no-mobile dans compteur horizontal
v9493263,psFlagImageHorizontal,Image du drapeau PS en horizontal
v9493363,mainMenuContainer,Conteneur du menu principal
v9493463,menuHeaderClass,Classe pour l'en-tête du menu
v9482563,menuVersionDisplay,Affichage de la version dans le menu
v9482663,menuScrollButtons,Conteneur des boutons de défilement du menu
v9424463,scrollMenuFunction,Fonction pour faire défiler le contenu du menu
v9453963,menuContentContainer,Conteneur du contenu du menu
v9454063,languageSelectionContainer,Conteneur de sélection de la langue
v9454163,changeLanguageFunction,Fonction pour changer la langue
v9438663,menuFooterLinks,Liens du pied de menu (Doc, MàJ, Licence)
v9466763,autoStartContainer,Conteneur de l'option Auto-Start
v9438763,autoStartCheckbox,Checkbox pour l'Auto-Start
v9343363,toggleAutoStartFunction,Fonction pour basculer l'Auto-Start
v9438863,autoStartLabel,Label pour l'Auto-Start
v9493563,menuSectionsContainer,Conteneur des sections du menu
v9369663,fullScreenButton,Bouton Plein écran
v9424563,closeMenuFunction,Fonction pour fermer le menu
v9381463,enterFullScreenFunction,Fonction pour passer en plein écran
v9349263,locationSettingsButton,Bouton Paramètres de localisation
v9410463,showElementFunction,Fonction pour afficher un élément
v9369763,locationSectionId,ID de la section Localisation
v9381563,optionsSettingsButton,Bouton Paramètres des options
v9438963,optionsSectionId,ID de la section Options
v9381663,bottomMessagesButton,Bouton Messages du bas
v9410563,bottomMessagesSectionId,ID de la section Messages du bas
v9369863,personalFilesButton,Bouton Fichiers personnels
v9395863,personalFilesSectionId,ID de la section Fichiers personnels
v9343463,importExportButton,Bouton Importer/Exporter
v9381763,importExportSectionId,ID de la section Importer/Exporter
v9357663,soundRemindersButton,Bouton Rappels sonores
v9410663,soundRemindersSectionId,ID de la section Rappels sonores
v9424663,themesButton,Bouton Thèmes
v9454263,themesSectionId,ID de la section Thèmes
v9395963,forcedVerticalOption,Option d'orientation verticale forcée
v9357763,adjustmentsButton,Bouton Ajustements
v9381863,adjustmentsSectionId,ID de la section Ajustements
v9357863,blackScreenSettingsButton,Bouton Paramètres écran noir
v9381963,blackScreenSectionId,ID de la section Écran noir
v9439063,azkarSettingsButton,Bouton Paramètres Adhkar
v9466863,azkarSectionId,ID de la section Adhkar
v9424763,slidesSettingsButton,Bouton Paramètres Slides
v9454363,slidesSectionId,ID de la section Slides
v9382063,shortcutsInfoButton,Bouton Infos Raccourcis
v9424863,shortcutsSectionId,ID de la section Raccourcis
v9439163,meteoApiButton,Bouton API Météo
v9466963,meteoSectionId,ID de la section Météo
v9439263,menuFooterCredits,Pied de menu avec crédits
v9369963,creditsContent,Contenu des crédits
v9454463,aboutPopupId,ID de la popup À propos
v9343563,modalPopupClass,Classe pour les popups modales
v9493663,modalHeaderClass,Classe pour l'en-tête des modales
v9493763,modalTitleClass,Classe pour le titre des modales
v9493863,modalCloseButtonClass,Classe pour le bouton de fermeture des modales
v9424963,closeModalFunction,Fonction pour fermer une modale
v9493963,aboutContentClass,Classe pour le contenu À propos
v9467063,modalContentClass,Classe pour le contenu des modales
v9482763,textAlignCenterClass,Classe pour alignement centre
v9454563,aboutAppTitle,Titre de l'application dans À propos
v9410763,aboutDescription,Description dans À propos
v9370063,aboutExtraInfo,Info supplémentaire dans À propos
v9410863,optionsContentContainer,Conteneur du contenu des options
v9482863,cursorPointerClass,Classe pour curseur pointer
v9370163,mosqueNameOptionLabel,Label pour l'option Nom de la mosquée
v9357963,editMosqueNameFunction,Fonction pour éditer le nom de la mosquée
v9396063,clockAdjustLabel,Label pour ajustement horloge
v9494063,clickableWhiteClass,Classe pour texte blanc cliquable
v9410963,clockAdjustValueSpanElement,Span pour la valeur d'ajustement horloge
v9358063,editClockAdjustFunction,Fonction pour éditer l'ajustement horloge
v9482963,ayatsLanguageSelector,Sélecteur de langue des versets
v9332563,toggleAyatsLangListFunction,Fonction pour afficher/masquer la liste des langues
v9396163,ayatsLangLabel,Label pour langue des versets
v9483063,ayatsLangListContainer,Conteneur de la liste des langues de versets
v9382163,changeAyatsLanguageFunction,Fonction pour changer la langue des versets
v9396263,psFlagCheckbox,Checkbox pour afficher le drapeau PS
v9425063,togglePsFlagFunction,Fonction pour basculer le drapeau PS
v9454663,use24HoursCheckbox,Checkbox pour format 24h
v9411063,toggle24HoursFunction,Fonction pour basculer le format 24h
v9439363,use24HoursLabel,Label pour format 24h
v9425163,addZeroAmPmCheckbox,Checkbox pour ajouter un zéro devant AM/PM
v9382263,toggleAddZeroAmPmFunction,Fonction pour basculer l'ajout de zéro
v9411163,addZeroAmPmLabel,Label pour ajout de zéro
v9358163,fullClockCheckbox,Checkbox pour horloge complète
v9439463,fullClockLabel,Label pour horloge complète
v9382363,showNightPrayersCheckbox,Checkbox pour afficher les prières de nuit
v9349363,toggleNightPrayersFunction,Fonction pour basculer l'affichage des prières de nuit
v9334663,showNightPrayersLabel,Label pour afficher prières de nuit
v9358263,dimPastPrayersCheckbox,Checkbox pour griser les prières passées
v9338163,toggleDimPastPrayersFunction,Fonction pour basculer le grisage
v9439563,dimPastPrayersLabel,Label pour griser les prières passées
v9358363,middleSalatNamesCheckbox,Checkbox pour noms des prières au milieu
v9370263,middleSalatNamesLabel,Label pour noms au milieu
v9411263,fiveBoxesOnlyCheckbox,Checkbox pour 5 cases seulement (HR)
v9396363,fiveBoxesOnlyLabel,Label pour 5 cases seulement
v9396463,fullIqamaTimesCheckbox,Checkbox pour heures d'iqama complètes
v9396563,fullIqamaTimesLabel,Label pour heures d'iqama complètes
v9358463,iqamaCounterCheckbox,Checkbox pour compteur d'iqama
v9349463,toggleIqamaCounterFunction,Fonction pour basculer le compteur d'iqama
v9349563,iqamaCounterLabel,Label pour compteur d'iqama
